episodeId,personId,characterId,roleName,sourceUrl
episode-001,person-241,character-142,Tyrion Lannister,https://www.tvmaze.com/shows/82/game-of-thrones
episode-001,person-242,character-143,Jon Snow,https://www.tvmaze.com/shows/82/game-of-thrones
episode-001,person-243,character-144,Queen Cersei Lannister,https://www.tvmaze.com/shows/82/game-of-thrones
episode-001,person-244,character-145,Daenerys Targaryen,https://www.tvmaze.com/shows/82/game-of-thrones
episode-001,person-245,character-146,Sansa Stark,https://www.tvmaze.com/shows/82/game-of-thrones
episode-002,person-241,character-142,Tyrion Lannister,https://www.tvmaze.com/shows/82/game-of-thrones
episode-002,person-242,character-143,Jon Snow,https://www.tvmaze.com/shows/82/game-of-thrones
episode-002,person-243,character-144,Queen Cersei Lannister,https://www.tvmaze.com/shows/82/game-of-thrones
episode-002,person-244,character-145,Daenerys Targaryen,https://www.tvmaze.com/shows/82/game-of-thrones
episode-002,person-245,character-146,Sansa Stark,https://www.tvmaze.com/shows/82/game-of-thrones
episode-003,person-241,character-142,Tyrion Lannister,https://www.tvmaze.com/shows/82/game-of-thrones
episode-003,person-242,character-143,Jon Snow,https://www.tvmaze.com/shows/82/game-of-thrones
episode-003,person-243,character-144,Queen Cersei Lannister,https://www.tvmaze.com/shows/82/game-of-thrones
episode-003,person-244,character-145,Daenerys Targaryen,https://www.tvmaze.com/shows/82/game-of-thrones
episode-003,person-245,character-146,Sansa Stark,https://www.tvmaze.com/shows/82/game-of-thrones
episode-004,person-241,character-142,Tyrion Lannister,https://www.tvmaze.com/shows/82/game-of-thrones
episode-004,person-242,character-143,Jon Snow,https://www.tvmaze.com/shows/82/game-of-thrones
episode-004,person-243,character-144,Queen Cersei Lannister,https://www.tvmaze.com/shows/82/game-of-thrones
episode-004,person-244,character-145,Daenerys Targaryen,https://www.tvmaze.com/shows/82/game-of-thrones
episode-004,person-245,character-146,Sansa Stark,https://www.tvmaze.com/shows/82/game-of-thrones
episode-005,person-241,character-142,Tyrion Lannister,https://www.tvmaze.com/shows/82/game-of-thrones
episode-005,person-242,character-143,Jon Snow,https://www.tvmaze.com/shows/82/game-of-thrones
episode-005,person-243,character-144,Queen Cersei Lannister,https://www.tvmaze.com/shows/82/game-of-thrones
episode-005,person-244,character-145,Daenerys Targaryen,https://www.tvmaze.com/shows/82/game-of-thrones
episode-005,person-245,character-146,Sansa Stark,https://www.tvmaze.com/shows/82/game-of-thrones
episode-006,person-241,character-142,Tyrion Lannister,https://www.tvmaze.com/shows/82/game-of-thrones
episode-006,person-242,character-143,Jon Snow,https://www.tvmaze.com/shows/82/game-of-thrones
episode-006,person-243,character-144,Queen Cersei Lannister,https://www.tvmaze.com/shows/82/game-of-thrones
episode-006,person-244,character-145,Daenerys Targaryen,https://www.tvmaze.com/shows/82/game-of-thrones
episode-006,person-245,character-146,Sansa Stark,https://www.tvmaze.com/shows/82/game-of-thrones
episode-007,person-241,character-142,Tyrion Lannister,https://www.tvmaze.com/shows/82/game-of-thrones
episode-007,person-242,character-143,Jon Snow,https://www.tvmaze.com/shows/82/game-of-thrones
episode-007,person-243,character-144,Queen Cersei Lannister,https://www.tvmaze.com/shows/82/game-of-thrones
episode-007,person-244,character-145,Daenerys Targaryen,https://www.tvmaze.com/shows/82/game-of-thrones
episode-007,person-245,character-146,Sansa Stark,https://www.tvmaze.com/shows/82/game-of-thrones
episode-008,person-241,character-142,Tyrion Lannister,https://www.tvmaze.com/shows/82/game-of-thrones
episode-008,person-242,character-143,Jon Snow,https://www.tvmaze.com/shows/82/game-of-thrones
episode-008,person-243,character-144,Queen Cersei Lannister,https://www.tvmaze.com/shows/82/game-of-thrones
episode-008,person-244,character-145,Daenerys Targaryen,https://www.tvmaze.com/shows/82/game-of-thrones
episode-008,person-245,character-146,Sansa Stark,https://www.tvmaze.com/shows/82/game-of-thrones
episode-009,person-241,character-142,Tyrion Lannister,https://www.tvmaze.com/shows/82/game-of-thrones
episode-009,person-242,character-143,Jon Snow,https://www.tvmaze.com/shows/82/game-of-thrones
episode-009,person-243,character-144,Queen Cersei Lannister,https://www.tvmaze.com/shows/82/game-of-thrones
episode-009,person-244,character-145,Daenerys Targaryen,https://www.tvmaze.com/shows/82/game-of-thrones
episode-009,person-245,character-146,Sansa Stark,https://www.tvmaze.com/shows/82/game-of-thrones
episode-010,person-241,character-142,Tyrion Lannister,https://www.tvmaze.com/shows/82/game-of-thrones
episode-010,person-242,character-143,Jon Snow,https://www.tvmaze.com/shows/82/game-of-thrones
episode-010,person-243,character-144,Queen Cersei Lannister,https://www.tvmaze.com/shows/82/game-of-thrones
episode-010,person-244,character-145,Daenerys Targaryen,https://www.tvmaze.com/shows/82/game-of-thrones
episode-010,person-245,character-146,Sansa Stark,https://www.tvmaze.com/shows/82/game-of-thrones
episode-011,person-241,character-142,Tyrion Lannister,https://www.tvmaze.com/shows/82/game-of-thrones
episode-011,person-242,character-143,Jon Snow,https://www.tvmaze.com/shows/82/game-of-thrones
episode-011,person-243,character-144,Queen Cersei Lannister,https://www.tvmaze.com/shows/82/game-of-thrones
episode-011,person-244,character-145,Daenerys Targaryen,https://www.tvmaze.com/shows/82/game-of-thrones
episode-011,person-245,character-146,Sansa Stark,https://www.tvmaze.com/shows/82/game-of-thrones
episode-012,person-241,character-142,Tyrion Lannister,https://www.tvmaze.com/shows/82/game-of-thrones
episode-012,person-242,character-143,Jon Snow,https://www.tvmaze.com/shows/82/game-of-thrones
episode-012,person-243,character-144,Queen Cersei Lannister,https://www.tvmaze.com/shows/82/game-of-thrones
episode-012,person-244,character-145,Daenerys Targaryen,https://www.tvmaze.com/shows/82/game-of-thrones
episode-012,person-245,character-146,Sansa Stark,https://www.tvmaze.com/shows/82/game-of-thrones
episode-013,person-256,character-147,Walter White,https://www.tvmaze.com/shows/169/breaking-bad
episode-013,person-257,character-148,Jesse Pinkman,https://www.tvmaze.com/shows/169/breaking-bad
episode-013,person-258,character-149,Skyler White,https://www.tvmaze.com/shows/169/breaking-bad
episode-013,person-259,character-150,Walter White Jr.,https://www.tvmaze.com/shows/169/breaking-bad
episode-013,person-260,character-151,Hank Schrader,https://www.tvmaze.com/shows/169/breaking-bad
episode-014,person-256,character-147,Walter White,https://www.tvmaze.com/shows/169/breaking-bad
episode-014,person-257,character-148,Jesse Pinkman,https://www.tvmaze.com/shows/169/breaking-bad
episode-014,person-258,character-149,Skyler White,https://www.tvmaze.com/shows/169/breaking-bad
episode-014,person-259,character-150,Walter White Jr.,https://www.tvmaze.com/shows/169/breaking-bad
episode-014,person-260,character-151,Hank Schrader,https://www.tvmaze.com/shows/169/breaking-bad
episode-015,person-256,character-147,Walter White,https://www.tvmaze.com/shows/169/breaking-bad
episode-015,person-257,character-148,Jesse Pinkman,https://www.tvmaze.com/shows/169/breaking-bad
episode-015,person-258,character-149,Skyler White,https://www.tvmaze.com/shows/169/breaking-bad
episode-015,person-259,character-150,Walter White Jr.,https://www.tvmaze.com/shows/169/breaking-bad
episode-015,person-260,character-151,Hank Schrader,https://www.tvmaze.com/shows/169/breaking-bad
episode-016,person-256,character-147,Walter White,https://www.tvmaze.com/shows/169/breaking-bad
episode-016,person-257,character-148,Jesse Pinkman,https://www.tvmaze.com/shows/169/breaking-bad
episode-016,person-258,character-149,Skyler White,https://www.tvmaze.com/shows/169/breaking-bad
episode-016,person-259,character-150,Walter White Jr.,https://www.tvmaze.com/shows/169/breaking-bad
episode-016,person-260,character-151,Hank Schrader,https://www.tvmaze.com/shows/169/breaking-bad
episode-017,person-256,character-147,Walter White,https://www.tvmaze.com/shows/169/breaking-bad
episode-017,person-257,character-148,Jesse Pinkman,https://www.tvmaze.com/shows/169/breaking-bad
episode-017,person-258,character-149,Skyler White,https://www.tvmaze.com/shows/169/breaking-bad
episode-017,person-259,character-150,Walter White Jr.,https://www.tvmaze.com/shows/169/breaking-bad
episode-017,person-260,character-151,Hank Schrader,https://www.tvmaze.com/shows/169/breaking-bad
episode-018,person-256,character-147,Walter White,https://www.tvmaze.com/shows/169/breaking-bad
episode-018,person-257,character-148,Jesse Pinkman,https://www.tvmaze.com/shows/169/breaking-bad
episode-018,person-258,character-149,Skyler White,https://www.tvmaze.com/shows/169/breaking-bad
episode-018,person-259,character-150,Walter White Jr.,https://www.tvmaze.com/shows/169/breaking-bad
episode-018,person-260,character-151,Hank Schrader,https://www.tvmaze.com/shows/169/breaking-bad
episode-019,person-256,character-147,Walter White,https://www.tvmaze.com/shows/169/breaking-bad
episode-019,person-257,character-148,Jesse Pinkman,https://www.tvmaze.com/shows/169/breaking-bad
episode-019,person-258,character-149,Skyler White,https://www.tvmaze.com/shows/169/breaking-bad
episode-019,person-259,character-150,Walter White Jr.,https://www.tvmaze.com/shows/169/breaking-bad
episode-019,person-260,character-151,Hank Schrader,https://www.tvmaze.com/shows/169/breaking-bad
episode-020,person-256,character-147,Walter White,https://www.tvmaze.com/shows/169/breaking-bad
episode-020,person-257,character-148,Jesse Pinkman,https://www.tvmaze.com/shows/169/breaking-bad
episode-020,person-258,character-149,Skyler White,https://www.tvmaze.com/shows/169/breaking-bad
episode-020,person-259,character-150,Walter White Jr.,https://www.tvmaze.com/shows/169/breaking-bad
episode-020,person-260,character-151,Hank Schrader,https://www.tvmaze.com/shows/169/breaking-bad
episode-021,person-256,character-147,Walter White,https://www.tvmaze.com/shows/169/breaking-bad
episode-021,person-257,character-148,Jesse Pinkman,https://www.tvmaze.com/shows/169/breaking-bad
episode-021,person-258,character-149,Skyler White,https://www.tvmaze.com/shows/169/breaking-bad
episode-021,person-259,character-150,Walter White Jr.,https://www.tvmaze.com/shows/169/breaking-bad
