id,seriesId,seasonId,title,seasonNumber,episodeNumber,year,runtime,rating,ratingSource,description,tvmazeId,sourceUrl
episode-001,series-001,season-001,Winter is Coming,1,1,2011,60,8.2,TVmaze average rating,"Lord Eddard Stark, ruler of the North, is summoned to court by his old friend, King Robert Baratheon, to serve as the King's Hand. Eddard reluctantly agrees after learning of a possible threat to the King's life. Eddard's bastard son Jon Snow must make a painful decision about his own future, while in the distant east Viserys Targaryen plots to reclaim his father's throne, usurped by Robert, by selling his sister in marriage.",4952,https://www.tvmaze.com/episodes/4952/game-of-thrones-1x01-winter-is-coming
episode-002,series-001,season-001,The Kingsroad,1,2,2011,60,8.2,TVmaze average rating,"An incident on the Kingsroad threatens Eddard and Robert's friendship. Jon and Tyrion travel to the Wall, where they discover that the reality of the Night's Watch may not match the heroic image of it.",4953,https://www.tvmaze.com/episodes/4953/game-of-thrones-1x02-the-kingsroad
episode-003,series-001,season-001,Lord Snow,1,3,2011,60,8.0,TVmaze average rating,Jon Snow attempts to find his place amongst the Night's Watch. Eddard and his daughters arrive at King's Landing.,4954,https://www.tvmaze.com/episodes/4954/game-of-thrones-1x03-lord-snow
episode-004,series-001,season-001,"Cripples, Bastards, and Broken Things",1,4,2011,60,8.2,TVmaze average rating,Tyrion stops at Winterfell on his way home and gets a frosty reception from Robb Stark. Eddard's investigation into the death of his predecessor gets underway.,4955,https://www.tvmaze.com/episodes/4955/game-of-thrones-1x04-cripples-bastards-and-broken-things
episode-005,series-001,season-002,The North Remembers,2,1,2012,60,8.2,TVmaze average rating,"War grips the continent of Westeros. As Tyrion Lannister tries to take his strong-willed nephew in hand in King's Landing, Stannis Baratheon launches his own campaign to take the Iron Throne with the help of a mysterious priestess. In the east, Daenerys must lead her retinue through a desolate wasteland whilst beyond the Wall the Night's Watch seeks the aid of a wildling.",4962,https://www.tvmaze.com/episodes/4962/game-of-thrones-2x01-the-north-remembers
episode-006,series-001,season-002,The Night Lands,2,2,2012,60,7.8,TVmaze average rating,"Stannis uses Ser Davos to seek out new allies for his war with the Lannisters. On the road north, Arya confides in Gendry. Robb Stark sends Theon Greyjoy to win an alliance with his father and the fierce warriors of the Iron Islands. Cersei and Tyrion clash on how to rule in King's Landing.",4963,https://www.tvmaze.com/episodes/4963/game-of-thrones-2x02-the-night-lands
episode-007,series-001,season-002,What is Dead May Never Die,2,3,2012,60,8.2,TVmaze average rating,"Catelyn Stark treats with King Renly in the hope of winning an alliance. Tyrion undertakes a complex plan in King's Landing to expose an enemy. At Winterfell, Bran's dreams continue to trouble him.",4964,https://www.tvmaze.com/episodes/4964/game-of-thrones-2x03-what-is-dead-may-never-die
episode-008,series-001,season-002,Garden of Bones,2,4,2012,60,8.2,TVmaze average rating,"Tyrion attempts to restrain Joffrey's cruelty. Catelyn attempts to broker a peace between Stannis and Renly. Daenerys and her followers arrive at the great city of Qarth and hope to find refuge there. Arya and Gendry arrive at Harrenhal, a great castle now under Lannister occupation.",4965,https://www.tvmaze.com/episodes/4965/game-of-thrones-2x04-garden-of-bones
episode-009,series-001,season-003,Valar Dohaeris,3,1,2013,60,7.9,TVmaze average rating,"Jon is brought before Mance Rayder, the King Beyond the Wall, while the Night's Watch survivors retreat south. In King's Landing, Tyrion asks for his reward. Littlefinger offers Sansa a way out. Cersei hosts a dinner for the royal family. Daenerys sails into Slaver's Bay.",4972,https://www.tvmaze.com/episodes/4972/game-of-thrones-3x01-valar-dohaeris
episode-010,series-001,season-003,"Dark Wings, Dark Words",3,2,2013,60,7.9,TVmaze average rating,Sansa says too much. Shae asks Tyrion for a favor. Jaime finds a way to pass the time. Arya runs into the Brotherhood Without Banners.,4973,https://www.tvmaze.com/episodes/4973/game-of-thrones-3x02-dark-wings-dark-words
