movieId,personId,sourceUrl
movie-010,person-001,https://www.wikidata.org/wiki/Q104123
movie-027,person-002,https://www.wikidata.org/wiki/Q483941
movie-016,person-003,https://www.wikidata.org/wiki/Q163872
movie-028,person-004,https://www.wikidata.org/wiki/Q17738
movie-025,person-005,https://www.wikidata.org/wiki/Q47703
movie-023,person-006,https://www.wikidata.org/wiki/Q181795
movie-024,person-007,https://www.wikidata.org/wiki/Q190050
movie-014,person-008,https://www.wikidata.org/wiki/Q134773
movie-022,person-009,https://www.wikidata.org/wiki/Q172241
movie-008,person-010,https://www.wikidata.org/wiki/Q83495
movie-008,person-011,https://www.wikidata.org/wiki/Q83495
movie-011,person-012,https://www.wikidata.org/wiki/Q127367
movie-012,person-012,https://www.wikidata.org/wiki/Q131074
movie-017,person-012,https://www.wikidata.org/wiki/Q164963
movie-019,person-002,https://www.wikidata.org/wiki/Q165817
movie-029,person-003,https://www.wikidata.org/wiki/Q25188
movie-002,person-003,https://www.wikidata.org/wiki/Q13417189
movie-020,person-013,https://www.wikidata.org/wiki/Q170564
movie-026,person-007,https://www.wikidata.org/wiki/Q190908
movie-009,person-008,https://www.wikidata.org/wiki/Q91540
movie-030,person-014,https://www.wikidata.org/wiki/Q36479
movie-030,person-015,https://www.wikidata.org/wiki/Q36479
movie-015,person-001,https://www.wikidata.org/wiki/Q153723
movie-018,person-001,https://www.wikidata.org/wiki/Q165325
movie-001,person-001,https://www.wikidata.org/wiki/Q571032
movie-021,person-016,https://www.wikidata.org/wiki/Q171048
movie-013,person-017,https://www.wikidata.org/wiki/Q132863
movie-006,person-018,https://www.wikidata.org/wiki/Q42759035
movie-013,person-019,https://www.wikidata.org/wiki/Q132863
movie-007,person-020,https://www.wikidata.org/wiki/Q61448040
movie-003,person-021,https://www.wikidata.org/wiki/Q15732802
movie-004,person-022,https://www.wikidata.org/wiki/Q23780914
movie-005,person-022,https://www.wikidata.org/wiki/Q23781155
movie-004,person-023,https://www.wikidata.org/wiki/Q23780914
movie-005,person-023,https://www.wikidata.org/wiki/Q23781155
movie-003,person-024,https://www.wikidata.org/wiki/Q15732802
