id,name,birthYear,primaryProfession,wikidataId,tvmazeId,sourceUrl
person-001,Quentin Tarantino,1963,Director; Writer; Producer,Q3772,,https://www.wikidata.org/wiki/Q3772
person-002,Steven Spielberg,1946,Director; Producer,Q8877,,https://www.wikidata.org/wiki/Q8877
person-003,Christopher Nolan,1970,Director; Writer; Producer,Q25191,,https://www.wikidata.org/wiki/Q25191
person-004,George Lucas,1944,Director; Writer; Producer,Q38222,,https://www.wikidata.org/wiki/Q38222
person-005,Francis Ford Coppola,1939,Director; Writer,Q56094,,https://www.wikidata.org/wiki/Q56094
person-006,Irvin Kershner,1923,Director,Q119348,,https://www.wikidata.org/wiki/Q119348
person-007,David Fincher,1962,Director,Q184903,,https://www.wikidata.org/wiki/Q184903
person-008,Robert Zemeckis,1952,Director; Writer,Q187364,,https://www.wikidata.org/wiki/Q187364
person-009,Frank Darabont,1959,Director; Writer,Q295445,,https://www.wikidata.org/wiki/Q295445
person-010,Lilly Wachowski,1967,Director,Q9544977,,https://www.wikidata.org/wiki/Q9544977
person-011,Lana Wachowski,1965,Director,Q9545711,,https://www.wikidata.org/wiki/Q9545711
person-012,Peter Jackson,1961,Director; Writer; Producer,Q4465,,https://www.wikidata.org/wiki/Q4465
person-013,James Cameron,1954,Director; Writer; Producer,Q42574,,https://www.wikidata.org/wiki/Q42574
person-014,Roger Allers,1949,Director,Q847468,,https://www.wikidata.org/wiki/Q847468
person-015,Rob Minkoff,1962,Director,Q1151111,,https://www.wikidata.org/wiki/Q1151111
person-016,John Lasseter,1957,Director; Writer,Q269214,,https://www.wikidata.org/wiki/Q269214
person-017,Andrew Stanton,1965,Director; Writer,Q328723,,https://www.wikidata.org/wiki/Q328723
person-018,Todd Phillips,1970,Director; Writer; Producer,Q362824,,https://www.wikidata.org/wiki/Q362824
person-019,Lee Unkrich,1967,Director,Q380920,,https://www.wikidata.org/wiki/Q380920
person-020,Bong Joon-ho,1969,Director; Writer; Producer,Q495980,,https://www.wikidata.org/wiki/Q495980
person-021,David Leitch,1975,Director; Producer,Q5236475,,https://www.wikidata.org/wiki/Q5236475
person-022,Anthony Russo,1970,Director,Q18018415,,https://www.wikidata.org/wiki/Q18018415
person-023,Joe Russo,1971,Director,Q20675767,,https://www.wikidata.org/wiki/Q20675767
person-024,Chad Stahelski,1968,Director,Q22277301,,https://www.wikidata.org/wiki/Q22277301
person-025,Mario Puzo,1920,Writer,Q182870,,https://www.wikidata.org/wiki/Q182870
person-026,the Wachowskis,,Writer,Q195719,,https://www.wikidata.org/wiki/Q195719
person-027,Lawrence Kasdan,1949,Writer,Q240872,,https://www.wikidata.org/wiki/Q240872
person-028,Chuck Palahniuk,1962,Writer,Q268181,,https://www.wikidata.org/wiki/Q268181
person-029,Steven Zaillian,1953,Writer,Q291141,,https://www.wikidata.org/wiki/Q291141
person-030,Leigh Brackett,1915,Writer,Q298242,,https://www.wikidata.org/wiki/Q298242
person-031,Bob Kane,1915,Writer,Q313048,,https://www.wikidata.org/wiki/Q313048
person-032,David S. Goyer,1965,Writer,Q352010,,https://www.wikidata.org/wiki/Q352010
person-033,Jonathan Nolan,1976,Writer,Q372788,,https://www.wikidata.org/wiki/Q372788
person-034,Roger Avary,1965,Writer,Q450720,,https://www.wikidata.org/wiki/Q450720
