episodeId,personId,sourceUrl
episode-001,person-239,https://www.tvmaze.com/episodes/4952/game-of-thrones-1x01-winter-is-coming
episode-001,person-240,https://www.tvmaze.com/episodes/4952/game-of-thrones-1x01-winter-is-coming
episode-002,person-239,https://www.tvmaze.com/episodes/4953/game-of-thrones-1x02-the-kingsroad
episode-002,person-240,https://www.tvmaze.com/episodes/4953/game-of-thrones-1x02-the-kingsroad
episode-003,person-239,https://www.tvmaze.com/episodes/4954/game-of-thrones-1x03-lord-snow
episode-003,person-240,https://www.tvmaze.com/episodes/4954/game-of-thrones-1x03-lord-snow
episode-004,person-248,https://www.tvmaze.com/episodes/4955/game-of-thrones-1x04-cripples-bastards-and-broken-things
episode-005,person-239,https://www.tvmaze.com/episodes/4962/game-of-thrones-2x01-the-north-remembers
episode-005,person-240,https://www.tvmaze.com/episodes/4962/game-of-thrones-2x01-the-north-remembers
episode-006,person-239,https://www.tvmaze.com/episodes/4963/game-of-thrones-2x02-the-night-lands
episode-006,person-240,https://www.tvmaze.com/episodes/4963/game-of-thrones-2x02-the-night-lands
episode-007,person-248,https://www.tvmaze.com/episodes/4964/game-of-thrones-2x03-what-is-dead-may-never-die
episode-008,person-252,https://www.tvmaze.com/episodes/4965/game-of-thrones-2x04-garden-of-bones
episode-009,person-239,https://www.tvmaze.com/episodes/4972/game-of-thrones-3x01-valar-dohaeris
episode-009,person-240,https://www.tvmaze.com/episodes/4972/game-of-thrones-3x01-valar-dohaeris
episode-010,person-252,https://www.tvmaze.com/episodes/4973/game-of-thrones-3x02-dark-wings-dark-words
episode-011,person-239,https://www.tvmaze.com/episodes/4974/game-of-thrones-3x03-walk-of-punishment
episode-011,person-240,https://www.tvmaze.com/episodes/4974/game-of-thrones-3x03-walk-of-punishment
episode-012,person-239,https://www.tvmaze.com/episodes/4975/game-of-thrones-3x04-and-now-his-watch-is-ended
episode-012,person-240,https://www.tvmaze.com/episodes/4975/game-of-thrones-3x04-and-now-his-watch-is-ended
episode-013,person-255,https://www.tvmaze.com/episodes/12192/breaking-bad-1x01-pilot
episode-014,person-255,https://www.tvmaze.com/episodes/12193/breaking-bad-1x02-cats-in-the-bag
episode-015,person-255,https://www.tvmaze.com/episodes/12194/breaking-bad-1x03-and-the-bags-in-the-river
episode-016,person-255,https://www.tvmaze.com/episodes/12195/breaking-bad-1x04-cancer-man
episode-017,person-263,https://www.tvmaze.com/episodes/12199/breaking-bad-2x01-seven-thirty-seven
episode-018,person-265,https://www.tvmaze.com/episodes/12200/breaking-bad-2x02-grilled
episode-019,person-267,https://www.tvmaze.com/episodes/12201/breaking-bad-2x03-bit-by-a-dead-bee
episode-020,person-269,https://www.tvmaze.com/episodes/12202/breaking-bad-2x04-down
episode-021,person-255,https://www.tvmaze.com/episodes/12212/breaking-bad-3x01-no-mas
episode-022,person-267,https://www.tvmaze.com/episodes/12213/breaking-bad-3x02-caballo-sin-nombre
episode-023,person-265,https://www.tvmaze.com/episodes/12214/breaking-bad-3x03-ift
episode-024,person-269,https://www.tvmaze.com/episodes/12215/breaking-bad-3x04-green-light
episode-037,person-291,https://www.tvmaze.com/episodes/47840/the-sopranos-1x01-pilot
episode-038,person-291,https://www.tvmaze.com/episodes/47841/the-sopranos-1x02-46-long
episode-039,person-299,https://www.tvmaze.com/episodes/47842/the-sopranos-1x03-denial-anger-acceptance
episode-040,person-301,https://www.tvmaze.com/episodes/47843/the-sopranos-1x04-meadowlands
episode-041,person-301,https://www.tvmaze.com/episodes/47853/the-sopranos-2x01-guy-walks-into-a-psychiatrists-office
episode-042,person-303,https://www.tvmaze.com/episodes/47854/the-sopranos-2x02-do-not-resuscitate
episode-042,person-304,https://www.tvmaze.com/episodes/47854/the-sopranos-2x02-do-not-resuscitate
episode-042,person-305,https://www.tvmaze.com/episodes/47854/the-sopranos-2x02-do-not-resuscitate
episode-043,person-303,https://www.tvmaze.com/episodes/47855/the-sopranos-2x03-toodle-fucking-oo
episode-044,person-291,https://www.tvmaze.com/episodes/47856/the-sopranos-2x04-commendatori
episode-045,person-291,https://www.tvmaze.com/episodes/47866/the-sopranos-3x01-mr-ruggerios-neighborhood
episode-046,person-291,https://www.tvmaze.com/episodes/47867/the-sopranos-3x02-proshai-livushka
episode-047,person-309,https://www.tvmaze.com/episodes/47868/the-sopranos-3x03-fortunate-son
episode-048,person-304,https://www.tvmaze.com/episodes/47869/the-sopranos-3x04-employee-of-the-month
episode-048,person-305,https://www.tvmaze.com/episodes/47869/the-sopranos-3x04-employee-of-the-month
episode-049,person-310,https://www.tvmaze.com/episodes/40646/friends-1x01-the-one-where-monica-gets-a-roommate
episode-049,person-311,https://www.tvmaze.com/episodes/40646/friends-1x01-the-one-where-monica-gets-a-roommate
episode-050,person-310,https://www.tvmaze.com/episodes/40647/friends-1x02-the-one-with-the-sonogram-at-the-end
episode-050,person-311,https://www.tvmaze.com/episodes/40647/friends-1x02-the-one-with-the-sonogram-at-the-end
episode-051,person-318,https://www.tvmaze.com/episodes/40648/friends-1x03-the-one-with-the-thumb
episode-051,person-319,https://www.tvmaze.com/episodes/40648/friends-1x03-the-one-with-the-thumb
episode-052,person-320,https://www.tvmaze.com/episodes/40649/friends-1x04-the-one-with-george-stephanopoulos
episode-053,person-318,https://www.tvmaze.com/episodes/40670/friends-2x01-the-one-with-rosss-new-girlfriend
episode-053,person-319,https://www.tvmaze.com/episodes/40670/friends-2x01-the-one-with-rosss-new-girlfriend
episode-054,person-322,https://www.tvmaze.com/episodes/40671/friends-2x02-the-one-with-the-breast-milk
episode-054,person-323,https://www.tvmaze.com/episodes/40671/friends-2x02-the-one-with-the-breast-milk
episode-055,person-324,https://www.tvmaze.com/episodes/40672/friends-2x03-the-one-where-heckles-dies
episode-055,person-325,https://www.tvmaze.com/episodes/40672/friends-2x03-the-one-where-heckles-dies
episode-056,person-320,https://www.tvmaze.com/episodes/40673/friends-2x04-the-one-with-phoebes-husband
episode-057,person-324,https://www.tvmaze.com/episodes/40694/friends-3x01-the-one-with-the-princess-leia-fantasy
episode-057,person-325,https://www.tvmaze.com/episodes/40694/friends-3x01-the-one-with-the-princess-leia-fantasy
episode-058,person-322,https://www.tvmaze.com/episodes/40695/friends-3x02-the-one-where-no-ones-ready
episode-059,person-328,https://www.tvmaze.com/episodes/40696/friends-3x03-the-one-with-the-jam
episode-060,person-320,https://www.tvmaze.com/episodes/40697/friends-3x04-the-one-with-the-metaphorical-tunnel
episode-062,person-339,https://www.tvmaze.com/episodes/47641/the-office-1x02-diversity-day
episode-063,person-341,https://www.tvmaze.com/episodes/47642/the-office-1x03-health-care
episode-064,person-342,https://www.tvmaze.com/episodes/47643/the-office-1x04-the-alliance
episode-065,person-344,https://www.tvmaze.com/episodes/47646/the-office-2x01-the-dundies
episode-066,person-339,https://www.tvmaze.com/episodes/47647/the-office-2x02-sexual-harassment
episode-067,person-342,https://www.tvmaze.com/episodes/47648/the-office-2x03-office-olympics
episode-068,person-339,https://www.tvmaze.com/episodes/47649/the-office-2x04-the-fire
episode-069,person-331,https://www.tvmaze.com/episodes/47668/the-office-3x01-gay-witch-hunt
episode-070,person-346,https://www.tvmaze.com/episodes/47669/the-office-3x02-the-convention
episode-070,person-347,https://www.tvmaze.com/episodes/47669/the-office-3x02-the-convention
episode-071,person-341,https://www.tvmaze.com/episodes/47670/the-office-3x03-the-coup
episode-072,person-348,https://www.tvmaze.com/episodes/47671/the-office-3x04-grief-counseling
episode-073,person-350,https://www.tvmaze.com/episodes/553946/stranger-things-1x01-chapter-one-the-vanishing-of-will-byers
episode-073,person-351,https://www.tvmaze.com/episodes/553946/stranger-things-1x01-chapter-one-the-vanishing-of-will-byers
episode-074,person-350,https://www.tvmaze.com/episodes/578663/stranger-things-1x02-chapter-two-the-weirdo-on-maple-street
episode-074,person-351,https://www.tvmaze.com/episodes/578663/stranger-things-1x02-chapter-two-the-weirdo-on-maple-street
episode-075,person-357,https://www.tvmaze.com/episodes/578664/stranger-things-1x03-chapter-three-holly-jolly
episode-076,person-359,https://www.tvmaze.com/episodes/578665/stranger-things-1x04-chapter-four-the-body
episode-077,person-350,https://www.tvmaze.com/episodes/909340/stranger-things-2x01-chapter-one-madmax
episode-077,person-351,https://www.tvmaze.com/episodes/909340/stranger-things-2x01-chapter-one-madmax
episode-078,person-350,https://www.tvmaze.com/episodes/909342/stranger-things-2x02-chapter-two-trick-or-treat-freak
episode-078,person-351,https://www.tvmaze.com/episodes/909342/stranger-things-2x02-chapter-two-trick-or-treat-freak
episode-079,person-359,https://www.tvmaze.com/episodes/909343/stranger-things-2x03-chapter-three-the-pollywog
episode-080,person-360,https://www.tvmaze.com/episodes/909344/stranger-things-2x04-chapter-four-will-the-wise
episode-081,person-350,https://www.tvmaze.com/episodes/1576469/stranger-things-3x01-chapter-one-suzie-do-you-copy
episode-081,person-351,https://www.tvmaze.com/episodes/1576469/stranger-things-3x01-chapter-one-suzie-do-you-copy
episode-082,person-350,https://www.tvmaze.com/episodes/1576470/stranger-things-3x02-chapter-two-the-mall-rats
episode-082,person-351,https://www.tvmaze.com/episodes/1576470/stranger-things-3x02-chapter-two-the-mall-rats
episode-083,person-361,https://www.tvmaze.com/episodes/1576471/stranger-things-3x03-chapter-three-the-case-of-the-missing-lifeguard
episode-084,person-362,https://www.tvmaze.com/episodes/1576472/stranger-things-3x04-chapter-four-the-sauna-test
episode-085,person-363,https://www.tvmaze.com/episodes/560876/the-crown-1x01-wolferton-splash
episode-086,person-363,https://www.tvmaze.com/episodes/731302/the-crown-1x02-hyde-park-corner
episode-087,person-363,https://www.tvmaze.com/episodes/731303/the-crown-1x03-windsor
episode-088,person-363,https://www.tvmaze.com/episodes/731304/the-crown-1x04-act-of-god
episode-089,person-363,https://www.tvmaze.com/episodes/1272067/the-crown-2x01-misadventure
episode-090,person-363,https://www.tvmaze.com/episodes/1280886/the-crown-2x02-a-company-of-men
episode-091,person-363,https://www.tvmaze.com/episodes/1280887/the-crown-2x03-lisbon
episode-092,person-363,https://www.tvmaze.com/episodes/1280888/the-crown-2x04-beryl
episode-092,person-373,https://www.tvmaze.com/episodes/1280888/the-crown-2x04-beryl
episode-093,person-363,https://www.tvmaze.com/episodes/1695484/the-crown-3x01-olding
episode-094,person-363,https://www.tvmaze.com/episodes/1752913/the-crown-3x02-margaretology
episode-095,person-363,https://www.tvmaze.com/episodes/1752915/the-crown-3x03-aberfan
episode-096,person-363,https://www.tvmaze.com/episodes/1752916/the-crown-3x04-bubbikins
episode-097,person-255,https://www.tvmaze.com/episodes/57360/better-call-saul-1x01-uno
episode-097,person-267,https://www.tvmaze.com/episodes/57360/better-call-saul-1x01-uno
episode-098,person-267,https://www.tvmaze.com/episodes/57361/better-call-saul-1x02-mijo
episode-099,person-379,https://www.tvmaze.com/episodes/109590/better-call-saul-1x03-nacho
episode-100,person-381,https://www.tvmaze.com/episodes/109591/better-call-saul-1x04-hero
episode-101,person-379,https://www.tvmaze.com/episodes/470535/better-call-saul-2x01-switch
episode-102,person-381,https://www.tvmaze.com/episodes/603277/better-call-saul-2x02-cobbler
episode-103,person-382,https://www.tvmaze.com/episodes/603278/better-call-saul-2x03-amarillo
episode-104,person-383,https://www.tvmaze.com/episodes/628774/better-call-saul-2x04-gloves-off
episode-105,person-255,https://www.tvmaze.com/episodes/1041746/better-call-saul-3x01-mabel
episode-105,person-267,https://www.tvmaze.com/episodes/1041746/better-call-saul-3x01-mabel
episode-106,person-379,https://www.tvmaze.com/episodes/1051911/better-call-saul-3x02-witness
episode-107,person-381,https://www.tvmaze.com/episodes/1051912/better-call-saul-3x03-sunk-costs
episode-108,person-382,https://www.tvmaze.com/episodes/1051913/better-call-saul-3x04-sabrosito
episode-111,person-387,https://www.tvmaze.com/episodes/10142/lost-1x03-tabula-rasa
episode-112,person-393,https://www.tvmaze.com/episodes/10143/lost-1x04-walkabout
episode-113,person-387,https://www.tvmaze.com/episodes/10165/lost-2x01-man-of-science-man-of-faith
episode-114,person-394,https://www.tvmaze.com/episodes/10166/lost-2x02-adrift
episode-114,person-395,https://www.tvmaze.com/episodes/10166/lost-2x02-adrift
episode-115,person-397,https://www.tvmaze.com/episodes/10167/lost-2x03-orientation
episode-115,person-398,https://www.tvmaze.com/episodes/10167/lost-2x03-orientation
episode-116,person-399,https://www.tvmaze.com/episodes/10168/lost-2x04-everybody-hates-hugo
episode-116,person-400,https://www.tvmaze.com/episodes/10168/lost-2x04-everybody-hates-hugo
episode-118,person-402,https://www.tvmaze.com/episodes/10190/lost-3x02-the-glass-ballerina
episode-118,person-403,https://www.tvmaze.com/episodes/10190/lost-3x02-the-glass-ballerina
episode-119,person-404,https://www.tvmaze.com/episodes/10191/lost-3x03-further-instructions
episode-119,person-405,https://www.tvmaze.com/episodes/10191/lost-3x03-further-instructions
episode-120,person-399,https://www.tvmaze.com/episodes/10192/lost-3x04-every-man-for-himself
episode-120,person-400,https://www.tvmaze.com/episodes/10192/lost-3x04-every-man-for-himself
