workType,workId,companyId,sourceUrl
Movie,movie-011,company-001,https://www.wikidata.org/wiki/Q127367
Movie,movie-012,company-001,https://www.wikidata.org/wiki/Q131074
Movie,movie-017,company-001,https://www.wikidata.org/wiki/Q164963
Movie,movie-026,company-001,https://www.wikidata.org/wiki/Q190908
Movie,movie-029,company-002,https://www.wikidata.org/wiki/Q25188
Movie,movie-008,company-002,https://www.wikidata.org/wiki/Q83495
Movie,movie-016,company-002,https://www.wikidata.org/wiki/Q163872
Movie,movie-002,company-002,https://www.wikidata.org/wiki/Q13417189
Movie,movie-006,company-002,https://www.wikidata.org/wiki/Q42759035
Movie,movie-013,company-003,https://www.wikidata.org/wiki/Q132863
Movie,movie-021,company-003,https://www.wikidata.org/wiki/Q171048
Movie,movie-025,company-004,https://www.wikidata.org/wiki/Q47703
Movie,movie-014,company-004,https://www.wikidata.org/wiki/Q134773
Movie,movie-019,company-004,https://www.wikidata.org/wiki/Q165817
Movie,movie-002,company-004,https://www.wikidata.org/wiki/Q13417189
Movie,movie-009,company-005,https://www.wikidata.org/wiki/Q91540
Movie,movie-015,company-005,https://www.wikidata.org/wiki/Q153723
Movie,movie-022,company-006,https://www.wikidata.org/wiki/Q172241
Movie,movie-001,company-006,https://www.wikidata.org/wiki/Q571032
Movie,movie-030,company-007,https://www.wikidata.org/wiki/Q36479
Movie,movie-013,company-007,https://www.wikidata.org/wiki/Q132863
Movie,movie-021,company-007,https://www.wikidata.org/wiki/Q171048
Movie,movie-019,company-008,https://www.wikidata.org/wiki/Q165817
Movie,movie-028,company-009,https://www.wikidata.org/wiki/Q17738
Movie,movie-023,company-009,https://www.wikidata.org/wiki/Q181795
Movie,movie-010,company-010,https://www.wikidata.org/wiki/Q104123
Movie,movie-015,company-010,https://www.wikidata.org/wiki/Q153723
Movie,movie-018,company-010,https://www.wikidata.org/wiki/Q165325
Movie,movie-001,company-010,https://www.wikidata.org/wiki/Q571032
Movie,movie-004,company-011,https://www.wikidata.org/wiki/Q23780914
Movie,movie-005,company-011,https://www.wikidata.org/wiki/Q23781155
Movie,movie-024,company-012,https://www.wikidata.org/wiki/Q190050
Movie,movie-009,company-013,https://www.wikidata.org/wiki/Q91540
Movie,movie-019,company-013,https://www.wikidata.org/wiki/Q165817
Movie,movie-027,company-013,https://www.wikidata.org/wiki/Q483941
Movie,movie-010,company-014,https://www.wikidata.org/wiki/Q104123
Movie,movie-018,company-014,https://www.wikidata.org/wiki/Q165325
Movie,movie-024,company-015,https://www.wikidata.org/wiki/Q190050
Movie,movie-019,company-016,https://www.wikidata.org/wiki/Q165817
Movie,movie-029,company-017,https://www.wikidata.org/wiki/Q25188
Movie,movie-016,company-017,https://www.wikidata.org/wiki/Q163872
Movie,movie-002,company-017,https://www.wikidata.org/wiki/Q13417189
Movie,movie-008,company-018,https://www.wikidata.org/wiki/Q83495
Movie,movie-006,company-018,https://www.wikidata.org/wiki/Q42759035
Movie,movie-022,company-019,https://www.wikidata.org/wiki/Q172241
Movie,movie-003,company-020,https://www.wikidata.org/wiki/Q15732802
Movie,movie-015,company-021,https://www.wikidata.org/wiki/Q153723
Movie,movie-020,company-022,https://www.wikidata.org/wiki/Q170564
Movie,movie-029,company-023,https://www.wikidata.org/wiki/Q25188
Movie,movie-016,company-023,https://www.wikidata.org/wiki/Q163872
Movie,movie-002,company-023,https://www.wikidata.org/wiki/Q13417189
Movie,movie-020,company-024,https://www.wikidata.org/wiki/Q170564
Movie,movie-030,company-025,https://www.wikidata.org/wiki/Q36479
Movie,movie-015,company-026,https://www.wikidata.org/wiki/Q153723
Movie,movie-001,company-026,https://www.wikidata.org/wiki/Q571032
Movie,movie-008,company-027,https://www.wikidata.org/wiki/Q83495
Movie,movie-004,company-028,https://www.wikidata.org/wiki/Q23780914
Movie,movie-005,company-028,https://www.wikidata.org/wiki/Q23781155
Movie,movie-020,company-029,https://www.wikidata.org/wiki/Q170564
Movie,movie-016,company-030,https://www.wikidata.org/wiki/Q163872
Movie,movie-006,company-031,https://www.wikidata.org/wiki/Q42759035
Movie,movie-010,company-032,https://www.wikidata.org/wiki/Q104123
Movie,movie-011,company-033,https://www.wikidata.org/wiki/Q127367
Movie,movie-012,company-033,https://www.wikidata.org/wiki/Q131074
Movie,movie-017,company-033,https://www.wikidata.org/wiki/Q164963
Movie,movie-007,company-034,https://www.wikidata.org/wiki/Q61448040
Movie,movie-029,company-035,https://www.wikidata.org/wiki/Q25188
Movie,movie-025,company-036,https://www.wikidata.org/wiki/Q47703
Movie,movie-020,company-037,https://www.wikidata.org/wiki/Q170564
Movie,movie-006,company-038,https://www.wikidata.org/wiki/Q42759035
Movie,movie-016,company-039,https://www.wikidata.org/wiki/Q163872
Movie,movie-006,company-039,https://www.wikidata.org/wiki/Q42759035
Movie,movie-007,company-040,https://www.wikidata.org/wiki/Q61448040
Series,series-001,company-041,https://www.tvmaze.com/shows/82/game-of-thrones
Series,series-002,company-042,https://www.tvmaze.com/shows/169/breaking-bad
Series,series-003,company-041,https://www.tvmaze.com/shows/179/the-wire
Series,series-004,company-041,https://www.tvmaze.com/shows/527/the-sopranos
Series,series-005,company-043,https://www.tvmaze.com/shows/431/friends
Series,series-006,company-043,https://www.tvmaze.com/shows/526/the-office
Series,series-007,company-044,https://www.tvmaze.com/shows/2993/stranger-things
Series,series-008,company-044,https://www.tvmaze.com/shows/3594/the-crown
Series,series-009,company-042,https://www.tvmaze.com/shows/618/better-call-saul
Series,series-010,company-045,https://www.tvmaze.com/shows/123/lost
