seriesId,personId,sourceUrl
series-001,person-239,https://www.tvmaze.com/shows/82/game-of-thrones
series-001,person-240,https://www.tvmaze.com/shows/82/game-of-thrones
series-002,person-255,https://www.tvmaze.com/shows/169/breaking-bad
series-003,person-272,https://www.tvmaze.com/shows/179/the-wire
series-004,person-291,https://www.tvmaze.com/shows/527/the-sopranos
series-005,person-310,https://www.tvmaze.com/shows/431/friends
series-005,person-311,https://www.tvmaze.com/shows/431/friends
series-006,person-330,https://www.tvmaze.com/shows/526/the-office
series-006,person-331,https://www.tvmaze.com/shows/526/the-office
series-006,person-332,https://www.tvmaze.com/shows/526/the-office
series-007,person-350,https://www.tvmaze.com/shows/2993/stranger-things
series-007,person-351,https://www.tvmaze.com/shows/2993/stranger-things
series-008,person-363,https://www.tvmaze.com/shows/3594/the-crown
series-009,person-255,https://www.tvmaze.com/shows/618/better-call-saul
series-009,person-267,https://www.tvmaze.com/shows/618/better-call-saul
series-010,person-385,https://www.tvmaze.com/shows/123/lost
series-010,person-386,https://www.tvmaze.com/shows/123/lost
series-010,person-387,https://www.tvmaze.com/shows/123/lost
